Source,Target,Weight,Season
BIOLOGICS,MEDICAL_DEVICES,192,1
BIOLOGICS,DRUGS_MED_CHEM,96,1
BIOLOGICS,MEDICAL_DEVICES,96,1
BIOLOGICS,CATALYSIS_SEPRATION,96,1
BIOLOGICS,CHEM_POLYM,96,1
BIOLOGICS,MED_INSTR,91,1
BIOLOGICS,RECORDING,90,1
BIOLOGICS,RADIO_COMM,90,1
BIOLOGICS,TEL_COMM,86,1
BIOLOGICS,MEDICAL_TOOLS,86,1
BIOLOGICS,MEASUREMENTS,80,1
BIOLOGICS,AUGMENTED_REALITY,73,1
BIOLOGICS,SENSOR,73,1
BIOLOGICS,BLOOD_PRESSURE_SENSOR,69,1
BIOLOGICS,TEMPERATURE_SENSOR,69,1
BIOLOGICS,BLUETOOTH,68,1
BIOLOGICS,WIFI,66,1
BIOLOGICS,NETWORK,64,1
BIOLOGICS,CLOUD_STORAGE,61,1
COMMUNICATION,MEDICAL_DEVICES,160,1
COMMUNICATION,COPYING_PRINTS,60,1
COMMUNICATION,LAB_EQUIP,54,1
COMMUNICATION,MED_INSTR,53,1
COMMUNICATION,DOMESTIC_APPLIANCES,53,1
COMMUNICATION,OPTICS,53,1
COMMUNICATION,TV_IMAGING_COMM,49,1
COMMUNICATION,COMPUTING,48,1
COMMUNICATION,RECORDING,47,1
COMMUNICATION,RADIO_COMM,46,1
COMMUNICATION,TEL_COMM,45,1
COMMUNICATION,INFO_TRANSMISSION,45,1
COMMUNICATION,DATA_COMMERCE,44,1
COMMUNICATION,MEDICAL_TOOLS,44,1
COMMUNICATION,VEHICLES,43,1
COMMUNICATION,AERONAUTICAL,42,1
COMMUNICATION,LIDAR,41,1
COMMUNICATION,RADAR,40,1
COMMUNICATION,AI,39,1
COMMUNICATION,MACHINE_LEARNING,36,1
COMMUNICATION,5G,36,1
COMMUNICATION,SENSOR,34,1
COMMUNICATION,BLUETOOTH,34,1
COMMUNICATION,WIFI,34,1
COMMUNICATION,SOFTWARE_ARCHITECTURE,34,1
COMMUNICATION,NETWORK,33,1
COMMUNICATION,SHARED_NETWORK,32,1
COMMUNICATION,CLOUD_STORAGE,31,1
OPTICS,PHOTOLITHOGRAPHY,150,1
OPTICS,TV_IMAGING_COMM,30,1
OPTICS,SEMICONDUCTOR,30,1
OPTICS,LIGHTING,30,1
OPTICS,DATA_COMMERCE,30,1
